163123 / QUIN00039  10,209,,2631 North 21st Street Kansas City KS 66104,V,$ 15005.56
019301 / HEND00050 10,211,,6838 Webster Avenue Kansas City KS 66109,V,$ 253.72
119939 / HEIS00009  10,214,,823 Tenny Avenue Kansas City KS 66101,I,$ 3546.10
121048 / HERN00073  10,215,,19 North Tremont Street Kansas City KS 66101,I,$ 940.81
164011 / CREA00011  10,221,,2705 Endicott Avenue Kansas City KS 66104,I,$ 3655.24
169082 / CHAG00003  10,226,,3517 Silver Avenue Kansas City KS 66106,I,$ 4715.10
177346 / STAG00002 10,232,,4730 Parallel Drive Kansas City KS 66104,V,$ 5393.20
200100 / GROO00005  110,240,,110 South Neconi Avenue & 202 West Kump Avenue Bonner Springs KS 66012,I,$ 2578.28
063564 / HERR00060  10,241,,1511 North 34th Street Kansas City KS 66102,V,$ 29483.72
127006 / HERN00442  10,245,,1037 Metropolitan Avenue Kansas City KS 66103,I,$ 2764.40
209584 / SMIT00122 10,247,,1305 Walker Avenue Kansas City KS 66104,V,$ 702.07
209639 / CALD00022  10,248,,1215 Wood Avenue Kansas City KS 66104,V,$ 565.95
209652 / HAYE00016  10,249,,1717 North 13th Street Kansas City KS 66102,V,$ 10964.95
245604 / 53RD00001   10,253,,6281 Parallel Parkway Kansas City KS 66102,V,$ 32625.56
903312 / CRAW00015  10,256,,337 R Cleveland Avenue Kansas City KS 66101,I,$ 1411.08
903421 / CHRI00048 90,258,,2701 Front Street Kansas City KS 66115,V,$ 25328.49
904910 / FLOR00016 10,259,,645 Ruby Drive Kansas City KS 66103,V,$ 758.79
909416 / ASBU00001  10,260,,1825 Armstrong Avenue Kansas City KS 66102,V,$ 8021.79
910610 / CARL00031  10,262,,2060 Brickel Boulevard Kansas City KS 66104,V,$ 1653.75
913007 / ARAM00017 10,264,,3496 Wood Avenue Kansas City KS 66102,I,$ 614.53
913316 / BART00096 10,265,,3401 Weaver Drive Kansas City KS 66104,V,$ 16657.98
914032 / DEDR00004  10,266,,3208 North 42nd Terrace Kansas City KS 66104,V,$ 18293.10
914043 / BONN00025   10,267,,4410 Leavenworth Road Kansas City KS 66104,I,$ 25097.75
915817 / BRED00001  30,268,,1737 South 49th Street Kansas City KS 66106,V,$ 28281.64
056663 / VIZC00001  10,269,,337 North 34th Street Kansas City KS 66102,I,$ 8253.86
916937 / WOLF00013  10,270,,3160 North 48th Street Kansas City KS 66104,V,$ 20085.09
163113 / MATH00010   10,274,,2649 North 20th Street Kansas City KS 66104,I,$ 2260.49
195606 / HOUK00003   10,277,,1829 Tennyson Street Kansas City KS 66104,I,$ 3016.01
918023 / CARR00105  10,280,,1100 North 55th Street Kansas City KS 66102,V,$ 30885.00
921302 / HOLL00111   10,283,,2726 North 59th Street Kansas City KS 66104,V,$ 34824.52
922010 / BOLL00007 30,284,,425 South 63rd Street Kansas City KS 66111,V,$ 1855.32
939808 / GROV00030 130,299,,1955 South 98th Street Edwardsville KS 66111,V,$ 25769.46
918107 / PEAR00028  10,300,,5254 Muncie Drive Kansas City KS 66102,V,$ 31605.62
109208 / HOBS00003 10,304,,2049 North Hallock Street Kansas City KS 66101,V,$ 21393.40
131300 / HOLL00105 10,308,,2926 H Sherman Street Kansas City KS 66101,V,$ 1693.80
158744 / PARD00012   10,311,,1815 Quindaro Boulevard Kansas City KS 66104,V,$ 341.78
920322 / HORI00004 10,314,,2216 R North 55th Street Kansas City KS 66104,V,$ 42651.97
260057 / CUNN00049 130,317,,701 South 4th Street Edwardsville KS 66111,V,$ 2403.06
128630 / POWE00027  10,320,,1300 Springhorn Road Kansas City KS 66103,V,$ 4760.18
908115 / POWE00027  10,321,,1610 Metropolitan Avenue Kansas City KS 66103,V,$ 457.44
093301 / COLL00070  10,322,,207 North Mill Street Kansas City KS 66101,I,$ 9401.12
156114 / LEWI00066   10,332,,2716 North Early Street Kansas City KS 66101,V,$ 322.79
165018 / HUGG00008  10,336,,3020 Delavan Avenue Kansas City KS 66104,V,$ 14236.85
924026 / BATE00026   10,338,,6337 Yecker Avenue Kansas City KS 66104,V,$ 23950.41
905551 / YADO00003  10,350,,1931 South 11th Street Kansas City KS 66103,V,$ 5026.74
069009 / VAZQ00052  10,361,,16 North Mill Street Kansas City KS 66101,I,$ 5149.55
072012 / HOUC00005  80,362,,1113 Shawnee Avenue Kansas City KS 66105,V,$ 21646.92
081067 / BOYD00034 10,368,,1813 & 1815 North 10th Street Kansas City KS 66104,V,$ 1814.38
111416 / BOYD00034 10,369,,620 Lafayette Avenue Kansas City KS 66101,V,$ 649.63
081270 / JACK00166   10,370,,1118 New Jersey Avenue Kansas City KS 66102,V,$ 3575.70
081277 / JACK00166   10,371,,1618 North 11th Street Kansas City KS 66102,V,$ 2110.48
209690 / JACK00166   10,372,,1134 New Jersey Avenue Kansas City KS 66102,V,$ 1321.40
004467 / WARD00039  10,422,,1318 North 62nd Street Kansas City KS 66102,I,$ 1388.87
094561 / HURT00031  10,439,,136 Stewart Avenue Kansas City KS 66101,V,$ 19454.29
106614 / LEWIS00135   10,441,,2929 North Bethany Street Kansas City KS 66104,V,$ 367.36
158548 / HUNT00021   10,444,,3006 Hutchings Street Kansas City KS 66104,V,$ 12087.69
